timestamp,symbol,price,volume,high,low,open,session_type,volume_5d_avg,volume_ratio,price_volatility,price_spread,price_position,hour,minute,is_opening_hour,is_closing_hour,is_pre_market,is_fraud
2025-07-11T22:43:10.947036,AAPL,211.0749969,1130558,211.1699982,211.0299988,211.1649933,after_hours,460017.0872,2.457638148,0.000395549,0.000663268,0.319137331,22,43,0,0,0,1
2025-07-11T22:43:11.193496,MSFT,503.1700134,514165,503.6099854,503.1000061,503.3900146,after_hours,150951.1487,3.406145619,0.00042203,0.001013533,0.137006198,22,43,0,0,0,1
2025-07-11T22:43:11.437063,GOOGL,180.1549988,471959,180.2449951,180.1334991,180.2200012,after_hours,400128.7436,1.179514914,0.000373214,0.000618889,0.191114699,22,43,0,0,0,1
2025-07-11T22:43:11.686964,AMZN,224.9900055,666641,225.0650024,224.9600067,225.0549927,after_hours,451249.8359,1.477318039,0.000521769,0.000466668,0.283018759,22,43,0,0,0,1
2025-07-11T22:43:11.922355,META,717.6099854,230939,717.6099854,717.2800293,717.4550171,after_hours,108589.1795,2.126702443,0.000685463,0.000459799,0.996978451,22,43,0,0,0,1
2025-07-11T22:43:12.164928,TSLA,313.5,545590,313.5700073,313.2799988,313.4299927,after_hours,1187872.89,0.459299598,0.001020262,0.000925067,0.755995742,22,43,0,0,0,0
2025-07-11T22:43:12.399859,NVDA,164.8800049,1796373,164.9799957,164.8800049,164.9700012,after_hours,1895570.051,0.947668513,0.000597728,0.000606446,0.0,22,43,0,0,0,0
2025-07-11T22:43:12.627705,NFLX,1244.660034,93408,1245.780029,1243.579956,1245.780029,after_hours,35559.58205,2.626728659,0.00063031,0.00176761,0.490705218,22,43,0,0,0,1
2025-07-11T22:43:12.892568,AMD,146.4398956,535829,146.4700012,146.3600006,146.4199982,after_hours,528600.5462,1.013672782,0.000883966,0.000751166,0.719770993,22,43,0,0,0,1
2025-07-11T22:43:13.229903,CRM,258.0299988,312794,258.3699951,257.980011,258.125,after_hours,69348.64103,4.510391047,0.000927271,0.001511391,0.127851207,22,43,0,0,0,1
2025-07-11T22:43:13.487244,UBER,95.33000183,300422,95.40000153,95.33000183,95.38999939,after_hours,205970.3872,1.458561813,0.000634337,0.000734288,0.0,22,43,0,0,0,1
2025-07-11T22:43:13.738261,ABNB,135.3399963,183607,135.3800049,135.1999969,135.3800049,after_hours,37434.45385,4.904628664,0.000673579,0.001330042,0.773443385,22,43,0,0,0,1
2025-07-11T22:43:13.984336,COIN,387.0499878,236878,387.1600037,386.230011,386.2999878,after_hours,155216.1692,1.526106945,0.001360876,0.002402771,0.880755379,22,43,0,0,0,1
2025-07-11T22:43:14.216207,ROKU,89.0,58853,89.06999969,88.98999786,89.00499725,after_hours,26681.31282,2.205693352,0.000748175,0.000898897,0.123480372,22,43,0,0,0,1
2025-07-11T22:43:15.149950,PYPL,71.35500336,408006,71.41999817,71.33499908,71.41999817,after_hours,107545.3051,3.793770502,0.001623799,0.001191214,0.232610296,22,43,0,0,0,1
2025-07-11T22:43:15.409191,GME,23.35000038,131935,23.40500069,23.34499931,23.40500069,after_hours,124452.5769,1.060114167,0.001227253,0.002569652,0.081982878,22,43,0,0,0,1
2025-07-11T22:43:15.649216,AMC,3.329999924,447939,3.359999895,3.329999924,3.355000019,after_hours,175761.5667,2.548546078,0.003918412,0.009009001,0.0,22,43,0,0,0,1
2025-07-11T22:43:15.880901,BB,4.039999962,468798,4.039999962,4.025000095,4.034999847,after_hours,133507.9564,3.511359931,0.000914242,0.003712838,0.937499478,22,43,0,0,0,1
2025-07-11T22:43:16.123514,PLTR,142.1000061,544974,142.1697998,142.0099945,142.0399933,after_hours,759323.5179,0.717708947,0.000684641,0.001124597,0.559755169,22,43,0,0,0,0
2025-07-11T22:43:17.221965,CLOV,2.924999952,102827,2.930000067,2.920000076,2.924999952,after_hours,167082.3231,0.615423479,0.002072139,0.0034188,0.454534578,22,43,0,0,0,0
2025-07-11T22:43:17.451980,SPCE,3.11500001,16479,3.119999886,3.109999895,3.11500001,after_hours,31117.45128,0.529557202,0.000652932,0.00321027,0.454556252,22,43,0,0,0,0
2025-07-11T22:43:17.677062,TLRY,0.582599998,177249,0.582599998,0.58069998,0.582000017,after_hours,886883.4385,0.199855801,0.00211801,0.003261272,0.655174466,22,43,0,0,0,0
2025-07-11T22:43:17.922264,SNDL,1.37469995,22802,1.379999995,1.37469995,1.375,after_hours,29965.1366,0.760925584,0.004210582,0.00385542,0.0,22,43,0,0,0,0
2025-07-11T22:43:20.613183,KOSS,5.25,898,5.28000021,5.25,5.28000021,after_hours,1257.611465,0.713484681,0.008182642,0.005714326,0.0,22,43,0,0,0,0
2025-07-11T22:43:20.878880,NOK,4.96999979,856053,4.989999771,4.96999979,4.985000134,after_hours,243254.4231,3.519152787,0.001622195,0.004024141,0.0,22,43,0,0,0,1
2025-07-11T22:43:21.115008,SIRI,24.20999908,78844,24.21500015,24.19000053,24.21500015,after_hours,36604.97692,2.153855917,0.001442234,0.001032615,0.769186301,22,43,0,0,0,1
2025-07-11T22:43:21.424279,SPY,623.6099854,2035976,623.7800293,623.5999756,623.7550049,after_hours,757355.5128,2.688266313,0.000350323,0.000288728,0.055286167,22,43,0,0,0,1
2025-07-11T22:43:21.695245,QQQ,554.210022,964957,554.4000244,554.1900024,554.3800049,after_hours,478421.7103,2.016954838,0.000350246,0.000378957,0.094869416,22,43,0,0,0,1
